euring_code,scientific_name,language_code,common_name
00060,Podilymbus podiceps,et,vöötnokk-pütt
00060,Podilymbus podiceps,fi,paksunokkauikku
00060,Podilymbus podiceps,fr,Grèbe à bec bigarré
00060,Podilymbus podiceps,hr,šarenokljuni gnjurac
00060,Podilymbus podiceps,hu,gyűrűscsőrű vöcsök
00060,Podilymbus podiceps,is,Stúfgoði
00060,Podilymbus podiceps,it,Podilimbo
00060,Podilymbus podiceps,lt,mažasis margasnapis kragas
00060,Podilymbus podiceps,lv,raibknābja dūkuris
00060,Podilymbus podiceps,nl,Dikbekfuut
00060,Podilymbus podiceps,no,ringnebbdykker
00060,Podilymbus podiceps,pl,perkozek grubodzioby
00060,Podilymbus podiceps,pt,mergulhão-caçador
00060,Podilymbus podiceps,ru,Пестроклювая поганка
00060,Podilymbus podiceps,sk,potápka škvrnitozobá
00060,Podilymbus podiceps,sl,progastokljuni ponirek
00060,Podilymbus podiceps,sr,Šarenokljuni gnjurac
00060,Podilymbus podiceps,sv,tjocknäbbad dopping
00060,Podilymbus podiceps,tr,Kalın Gagalı Batağan
00060,Podilymbus podiceps,uk,пірникоза рябодзьоба
00070,Tachybaptus ruficollis,be,Малая коўра
00070,Tachybaptus ruficollis,bg,Малък гмурец
00070,Tachybaptus ruficollis,cs,potápka malá
00070,Tachybaptus ruficollis,da,Lille Lappedykker
00070,Tachybaptus ruficollis,de,Zwergtaucher
00070,Tachybaptus ruficollis,el,Νανοβουτηχτάρι
00070,Tachybaptus ruficollis,en,Little Grebe
00070,Tachybaptus ruficollis,es,Zampullín común
00070,Tachybaptus ruficollis,et,väikepütt e. punakael-pütt
00070,Tachybaptus ruficollis,fi,pikku-uikku
00070,Tachybaptus ruficollis,fr,Grèbe castagneux
00070,Tachybaptus ruficollis,hr,mali gnjurac
00070,Tachybaptus ruficollis,hu,kis vöcsök
00070,Tachybaptus ruficollis,is,Dverggoði
00070,Tachybaptus ruficollis,it,Tuffetto
00070,Tachybaptus ruficollis,lt,paprastasis mažasis kragas
00070,Tachybaptus ruficollis,lv,mazais dūkuris
00070,Tachybaptus ruficollis,mk,мал нуркач
00070,Tachybaptus ruficollis,nl,Dodaars
00070,Tachybaptus ruficollis,no,dvergdykker
00070,Tachybaptus ruficollis,pl,perkozek (zwyczajny)
00070,Tachybaptus ruficollis,pt,mergulhão-pequeno
00070,Tachybaptus ruficollis,ro,Corcodel mic
00070,Tachybaptus ruficollis,ru,Малая поганка
00070,Tachybaptus ruficollis,sk,potápka malá
00070,Tachybaptus ruficollis,sl,mali ponirek
00070,Tachybaptus ruficollis,sr,Mali gnjurac
