place_code,country_code,active,latin_name
BY26,BLR,true,Mogilev O.
BY28,BLR,true,Vitebsk O.
CI00,XCH,true,Channel Islands
CIAL,XCH,true,Alderney
CIGU,XCH,true,Guernsey
CIHE,XCH,true,Herm
CIJE,XCH,true,Jersey
CISA,XCH,true,Sark
CS--,CZE,false,Czech Republic
CS1-,CZE,false,Bohemia
CS10,CZE,false,Cesk? Budejovice
CS11,CZE,false,Hradec Kralove
CS12,CZE,false,Jihlava
CS13,CZE,false,Karlovy Vary
CS14,CZE,false,Liberec
CS15,CZE,false,Pardubice
CS16,CZE,false,Plzen (Pilsen)
CS17,CZE,false,Praha
CS18,CZE,false,Usti nad Labem
CS2-,CZE,false,Moravia
CS22,CZE,false,Brno (Br?nn)
CS23,CZE,false,Gottwaldov
CS26,CZE,false,Olomouc
CS27,CZE,false,Ostrava
CY00,CYP,true,Cyprus
CYB-,CYP,true,UN Buffer Zone
CYN-,CYP,true,Northern Regions
CYS-,CYP,true,Southern Regions
CZ--,CZE,true,Czechia
CZ1-,CZE,false,Bohemia
CZ10,CZE,true,Jiho?esk?
CZ11,CZE,true,Kr?lov?hradeck?
CZ12,CZE,true,Vyso?ina
CZ13,CZE,true,Karlovarsk?
CZ14,CZE,true,Libereck?
CZ15,CZE,true,Pardubick?
CZ16,CZE,true,Plze?sk?
CZ17,CZE,true,Stredo?esk? a Praha
CZ18,CZE,true,?steck?
CZ2-,CZE,false,Moravia
CZ22,CZE,true,Jihomoravsk?
CZ23,CZE,true,Zl?nsk?
CZ26,CZE,true,Olomouck?
CZ27,CZE,true,Moravskoslezsk?
CZAA,CZE,false,Praha
CZBE,CZE,false,Beroun
CZBK,CZE,false,Blansko
CZBM,CZE,false,Brno-mesto
CZBN,CZE,false,Benesova
CZBO,CZE,false,Brno-venko
CZBR,CZE,false,Bruntal
CZBV,CZE,false,Breclav
CZCB,CZE,false,Ceske Budejovice
CZCH,CZE,false,Cheb
CZCK,CZE,false,CeskyKrumlov
CZCL,CZE,false,CeskaLipa
CZCR,CZE,false,Chrudim
CZCV,CZE,false,Chomutov
CZDC,CZE,false,Decin
